latitude,longitude,altitude,geometry,uwi,lease,operator,fake_number
32.161736,-102.910071,,Point,4.20E+13,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,12
32.49193,-102.807506,,Point,4.20E+13,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,89
32.350862,-102.66125,,Point,4.20E+13,UNIVERSITY `9-14`,BIG D ENERGY COMPANY,84
32.370107,-102.676562,,Point,4.20E+13,UNIVERSITY `3-14`,BIG D ENERGY COMPANY,73
32.146957,-102.893542,,Point,4.20E+13,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,46
32.479503,-102.794099,,Point,4.20E+13,LOWE BITLER UNIT,SHERIDAN PRODUCTION COMPANY LLC,64
32.222153,-102.248894,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,10
32.485236,-102.803869,,Point,4.20E+13,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,36
32.156978,-102.904044,,Point,4.20E+13,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,14
32.156978,-102.904044,,Point,4.20E+13,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,18
32.156978,-102.904044,,Point,4.20E+13,RATLIFF & BEDFORD,OCCIDENTAL PERMIAN LIMITED,64
32.341515,-102.622319,,Point,4.20E+13,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,67
32.227957,-102.212827,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,6
32.48902,-102.800598,,Point,4.20E+13,FULLERTON SAN ANDRES UNIT,DEVON ENERGY PRODUCTION COMPANY L P,9
32.485411,-102.810498,,Point,4.20E+13,FSAU,DEVON ENERGY PRODUCTION COMPANY L P,67
32.205753,-102.572149,,Point,4.20E+13,UNIVERSITY `9A`,XTO ENERGY INCORPORATED,57
32.19711,-102.57798,,Point,4.20E+13,UNIVERSITY 9 B,XTO ENERGY INCORPORATED,28
32.470512,-102.795119,,Point,4.20E+13,BITLER,CONOCOPHILLIPS COMPANY,37
32.196455,-102.58389,,Point,4.20E+13,UNIVERSITY 9 C,XTO ENERGY INCORPORATED,41
32.196455,-102.58389,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,88
32.409125,-102.317593,,Point,4.20E+13,UNIVERSITY 8-2,PIEDRA OPERATING LLC,62
32.189746,-102.571608,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,91
32.207074,-102.580669,,Point,4.20E+13,STATE UNIVERSITY `AO`,XTO ENERGY INCORPORATED,8
32.198971,-102.5859,,Point,4.20E+13,UNIVERSITY `9C`,XTO ENERGY INCORPORATED,77
32.198971,-102.5859,,Point,4.20E+13,UNIVERSITY 9 C 6H,XTO ENERGY INCORPORATED,44
32.204986,-102.220719,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,94
32.215248,-102.221751,,Point,4.20E+13,MABEE UNIT,CHEVRON U S A INCORPORATED,61
32.200172,-102.579483,,Point,4.20E+13,UNIVERSITY 9B,XTO ENERGY INCORPORATED,87
32.191556,-102.573669,,Point,4.20E+13,STATE UNIVERSITY `AU`,XTO ENERGY INCORPORATED,15
32.191556,-102.573669,,Point,4.20E+13,STATE UNIVERSITY AU,XTO ENERGY INCORPORATED,38
32.194488,-102.58594,,Point,4.20E+13,UNIVERSITY `9C`,XTO ENERGY INCORPORATED,79
32.199481,-102.57622,,Point,4.20E+13,UNIVERSITY 9B,XTO ENERGY INCORPORATED,54
32.346175,-102.681686,,Point,4.20E+13,UNIVERSITY `13-14` SOUTH,BIG D ENERGY COMPANY,6
32.202709,-102.577133,,Point,4.20E+13,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,55
32.201547,-102.586703,,Point,4.20E+13,TEXAS `Q`,XTO ENERGY INCORPORATED,33
32.118167,-102.718473,,Point,4.20E+13,UNIVERSITY `G`,SHERIDAN PRODUCTION COMPANY LLC,60
32.209219,-102.577742,,Point,4.20E+13,STATE UNIVERSITY `AO`,XTO ENERGY INCORPORATED,87
32.209219,-102.577742,,Point,4.20E+13,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,47
32.190556,-102.567222,,Point,4.20E+13,TEXAS N,XTO ENERGY INCORPORATED,63
32.195873,-102.575586,,Point,4.20E+13,UNIVERSITY `9B`,XTO ENERGY INCORPORATED,92
32.195873,-102.575586,,Point,4.20E+13,UNIVERSITY 9 B,XTO ENERGY INCORPORATED,8
32.195873,-102.575586,,Point,4.20E+13,UNIVERSITY 9B,XTO ENERGY INCORPORATED,68
32.358767,-102.355764,,Point,4.20E+13,FASKEN BLOCK `CB` A/C 2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,64
32.20138,-102.570873,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,26
32.19266,-102.559533,,Point,4.20E+13,UNIVERSITY `9` CEC,XTO ENERGY INCORPORATED,25
32.19266,-102.559533,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,90
32.202121,-102.560591,,Point,4.20E+13,UNIVERSITY `9CEC`,XTO ENERGY INCORPORATED,61
32.202121,-102.560591,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,21
32.181974,-102.572968,,Point,4.20E+13,UNIVERSITY `9D`,XTO ENERGY INCORPORATED,75
32.181974,-102.572968,,Point,4.20E+13,UNIVERSITY BLK 9 (PENN) UNIT,XTO ENERGY INCORPORATED,6
32.181974,-102.572968,,Point,4.20E+13,UNIVERSITY 9D,XTO ENERGY INCORPORATED,54
32.194642,-102.568414,,Point,4.20E+13,TEXAS` N`,XTO ENERGY INCORPORATED,39
32.148003,-102.600054,,Point,4.20E+13,STATE `FI`,AMERICO ENERGY RESOURCES LLC,14
32.349853,-102.337847,,Point,4.20E+13,FASKEN C B A/C-2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,60
32.349853,-102.337847,,Point,4.20E+13,FASKEN C B A/C-2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,96
32.349853,-102.337847,,Point,4.20E+13,FASKEN C B A-C 2,CHEVRON MIDCONTINENT LIMITED PARTNERSHIP,65
32.208314,-102.573674,,Point,4.20E+13,UNIVERSITY 9 `A`,XTO ENERGY INCORPORATED,88
32.208314,-102.573674,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,68
32.208314,-102.573674,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,56
32.234693,-102.632281,,Point,4.20E+13,BONER-FORD,BREITBURN OPERATING LIMITED PARTNERSHIP,85
32.190444,-102.556277,,Point,4.20E+13,UNIVERSITY `9-H`,XTO ENERGY INCORPORATED,41
32.190444,-102.556277,,Point,4.20E+13,UNIVERSITY 9 H,XTO ENERGY INCORPORATED,37
32.286625,-102.827163,,Point,4.20E+13,LOTUS,LOTUS L L C,77
32.184669,-102.561494,,Point,4.20E+13,STATE OF TEXAS BH,XTO ENERGY INCORPORATED,40
32.183968,-102.571746,,Point,4.20E+13,UNIVERSITY `9` D,XTO ENERGY INCORPORATED,14
32.211,-102.5638,,Point,4.20E+13,TEXAS `L`,XTO ENERGY INCORPORATED,28
32.211,-102.5638,,Point,4.20E+13,TEXAS L,XTO ENERGY INCORPORATED,70
32.210448,-102.586341,,Point,4.20E+13,TEXAS Q,XTO ENERGY INCORPORATED,67
32.189681,-102.579647,,Point,4.20E+13,STATE UNIVERSITY `AT`,XTO ENERGY INCORPORATED,16
32.189681,-102.579647,,Point,4.20E+13,STATE UNIVERSITY AT,XTO ENERGY INCORPORATED,37
32.14622,-102.374955,,Point,4.20E+13,MIDLAND FARMS UNIT,OCCIDENTAL PERMIAN LIMITED,26
32.205295,-102.558978,,Point,4.20E+13,UNIVERSITY 9 CEC,XTO ENERGY INCORPORATED,58
32.184781,-103.034586,,Point,4.20E+13,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,69
32.201849,-102.580863,,Point,4.20E+13,STATE UNIVERSITY AO,XTO ENERGY INCORPORATED,72
32.185783,-103.056703,,Point,4.20E+13,DOLLARHIDE NORTH UNIT,OXY USA WTP LP,27
32.222632,-102.472271,,Point,4.20E+13,UNIVERSITY F,NADEL AND GUSSMAN PERMIAN LLC,17
32.222632,-102.472271,,Point,4.20E+13,UNIVERSITY F,NADEL AND GUSSMAN PERMIAN LLC,76
32.174257,-102.513327,,Point,4.20E+13,UNIVERSITY 1-26,EOG RESOURCES INCORPORATED,87
32.209295,-102.501373,,Point,4.20E+13,UNIVERSITY 1-16,WILBANKS RESERVE CORPORATION,12
32.506192,-102.611103,,Point,4.20E+13,HAIR OF THE DOG,RING ENERGY INCORPORATED,66
32.203814,-102.573282,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,26
32.128944,-102.650847,,Point,4.20E+13,UNIVERSITY,SANDRIDGE EXPLORATION & PRODUCTION LLC,62
32.219186,-102.822853,,Point,4.20E+13,UNIVERSITY 12-36,DEVON ENERGY PRODUCTION COMPANY L P,68
32.187806,-102.738281,,Point,4.20E+13,UNIVERSITY 6N,SHERIDAN PRODUCTION COMPANY LLC,94
32.337603,-102.631444,,Point,4.20E+13,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,77
32.420027,-102.639884,,Point,4.20E+13,FISHER 4,LIME ROCK RESOURCES IV A LP,100
32.416617,-102.646025,,Point,4.20E+13,FISHER 4,LIME ROCK RESOURCES IV A LP,52
32.334433,-102.628772,,Point,4.20E+13,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,86
32.211211,-102.56843,,Point,4.20E+13,UNIVERSITY BLOCK 9,XTO ENERGY INCORPORATED,13
32.341985,-102.635605,,Point,4.20E+13,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,35
32.329773,-102.632517,,Point,4.20E+13,SHAFTER LAKE-SAN ANDRES-UNIT,APACHE CORPORATION,47
32.15297,-102.74674,,Point,4.20E+13,PHILLIPS UNIVERSITY -O-,SHERIDAN PRODUCTION COMPANY LLC,95
32.329448,-102.632536,,Point,4.20E+13,SHAFTER LAKE SAN ANDRES UNIT,APACHE CORPORATION,90
32.173025,-102.690294,,Point,4.20E+13,FUHRMAN MASCHO SOUTH UNIT,SHERIDAN PRODUCTION COMPANY LLC,81
32.104147,-102.930081,,Point,4.20E+13,BRUCE & BAR 73-18,MAVERICK OPERATING COMPANY LLC,16
32.257738,-102.669286,,Point,4.20E+13,FLEMING -A-,SHERIDAN PRODUCTION COMPANY LLC,4
32.138958,-102.825986,,Point,4.20E+13,UNIVERSITY `B11` 18,MEWBOURNE OIL COMPANY,77
32.417367,-102.632608,,Point,4.20E+13,FISHER 4,LIME ROCK RESOURCES IV A LP,80
32.415034,-102.64247,,Point,4.20E+13,FISHER 4,LIME ROCK RESOURCES IV A LP,38
32.220236,-102.817431,,Point,4.20E+13,UNIVERSITY 12-36,DEVON ENERGY PRODUCTION COMPANY L P,20
32.416717,-102.635286,,Point,4.20E+13,FISHER 4,LIME ROCK RESOURCES IV A LP,48
32.402906,-102.729833,,Point,4.20E+13,UNIVERSITY -YZ-,OXY USA WTP LP,88
